file,accuracy
deberta_ptuning_base.csv,0.95776
roberta_trainer.csv,0.95404
deberta_lora_base.csv,0.95364
deberta_unsloth_celoss.csv,0.94316
bert_rdorp.csv,0.94028
bert_scl_trainer.csv,0.9396
deberta_unsloth_ce_sc.csv,0.93748
bert_trainer.csv,0.93664
deberta_unsloth.csv,0.93612
bert_scratch.csv,0.93352
distilbert_trainer.csv,0.92828
distilbert_native.csv,0.91252
bert_native.csv,0.90088
attention_lstm.csv,0.86168
cnnlstm.csv,0.83648
transformer.csv,0.83208
cnn.csv,0.77256
gru.csv,0.76368
deberta_prompt_base.csv,0.51532
capsule_lstm.csv,0.5
lstm.csv,0.5
