id,sentiment,response_err_cnt
"12311_10",1,258
"8348_2",-1,258
"5828_4",0,258
"7186_2",1,258
"12128_7",1,258
"2913_8",-1,258
"4396_1",-1,258
"395_2",-1,258
"10616_1",0,258
"9074_9",-1,258
"9252_3",-1,258
"9896_9",-1,258
"574_4",1,258
"11182_8",-1,258
"11656_4",-1,258
"2322_4",0,258
"8703_1",0,258
"7483_1",-1,258
"6007_10",1,258
"12424_4",-1,258
"4672_1",0,258
"10841_3",-1,258
"8954_7",-1,258
"7392_1",-1,258
"10288_8",-1,258
"5343_4",0,258
"4950_1",0,258
"9257_4",1,258
"8689_3",0,258
"4480_2",0,258
"9286_10",-1,258
"12245_10",-1,258
"7529_7",-1,258
"4_4",0,258
"5299_2",-1,258
"12077_8",-1,258
"10701_2",-1,258
"11579_1",-1,258
"10993_1",-1,258
"8913_1",-1,258
"1350_3",-1,258
"3804_2",-1,258
"5025_3",1,258
"5170_8",-1,258
"8225_8",-1,258
"6427_7",-1,258
"3165_3",0,258
"7902_9",-1,258
"8208_3",0,258
"3577_8",-1,258
"4865_1",0,258
"9063_3",1,258
"1106_1",-1,258
"1117_9",-1,258
"1050_4",-1,258
"10755_9",-1,258
"2729_8",-1,258
"10072_10",0,258
"2904_7",0,258
"4584_2",-1,258
"189_4",-1,258
"6302_4",-1,258
"8138_9",-1,258
"1262_1",-1,258
"2199_10",1,258
"6551_7",-1,258
"8082_7",0,258
"4897_8",1,258
"7360_1",-1,258
"11012_10",1,258
"12046_1",-1,258
"2331_2",-1,258
"8961_9",-1,258
"751_7",-1,258
"9884_10",-1,258
"10016_8",1,258
"8023_10",1,258
"2628_1",1,258
"5832_1",-1,258
"7302_1",0,258
"4501_3",-1,258
"1121_7",1,258
"8334_3",0,258
"9789_10",0,258
"4230_10",-1,258
"824_4",-1,258
"6803_9",1,258
"3086_7",-1,258
"1135_8",-1,258
"10136_1",1,258
"11129_3",-1,258
"2072_8",0,258
"9501_7",-1,258
"319_10",0,258
"1693_7",-1,258
"10886_1",-1,258
"9406_8",1,258
"10376_10",-1,258
"9902_1",0,258
"9938_8",-1,258
"7080_9",-1,258
"11944_8",0,258
"5249_1",0,258
"9599_2",0,258
"9620_1",0,258
"11244_1",0,258
"6841_10",1,258
"10050_4",-1,258
"10512_9",-1,258
"11327_3",-1,258
"10681_8",0,258
"808_3",-1,258
"546_7",1,258
"10765_1",0,258
"7189_9",-1,258
"6005_9",1,258
"11915_9",-1,258
"5740_10",-1,258
"7097_10",-1,258
"9573_10",1,258
"5084_4",1,258
"12332_7",-1,258
"8154_1",-1,258
"5610_1",0,258
"5323_9",-1,258
"11034_8",1,258
"3977_2",0,258
"12380_7",-1,258
"1737_8",0,258
"6030_9",-1,258
"5918_7",-1,258
"7061_9",1,258
"266_8",1,258
"1375_10",-1,258
"8648_3",1,258
"10146_10",-1,258
"4578_10",-1,258
"4685_8",-1,258
"11843_9",1,258
"5467_10",-1,258
"10140_10",-1,258
"7721_8",1,258
"11208_10",0,258
"1063_10",-1,258
"8260_10",-1,258
"3182_9",0,258
"2797_8",1,258
"7613_2",0,258
"11624_4",-1,258
"4847_10",1,258
"10684_7",-1,258
"6312_1",0,258
"4925_3",-1,258
"4125_1",1,258
"2394_10",-1,258
"12105_10",1,258
"7812_1",-1,258
"1061_8",0,258
"9343_3",-1,258
"7696_10",1,258
"9355_10",0,258
"782_9",-1,258
"9882_10",-1,258
"10642_10",-1,258
"7410_2",1,258
"9591_4",-1,258
"11902_3",-1,258
"3495_7",-1,258
"6733_1",-1,258
"4552_1",0,258
"6722_1",1,258
"188_10",-1,258
"5099_10",1,258
"10313_1",-1,258
"6756_9",-1,258
"6622_2",-1,258
"4807_10",0,258
"7173_3",0,258
"11321_8",-1,258
"7909_9",1,258
"8012_7",-1,258
"8615_4",-1,258
"8117_10",-1,258
"1892_10",1,258
"4617_1",0,258
"1893_8",1,258
"5435_1",-1,258
"162_3",0,258
"6516_10",1,258
"11588_7",1,258
"2006_1",-1,258
"1594_4",0,258
"1472_1",-1,258
"3647_1",-1,258
"174_7",-1,258
"5539_7",-1,258
"3384_10",1,258
"3811_4",-1,258
"4079_8",1,258
"1179_7",-1,258
"3069_9",-1,258
"3769_8",0,258
"9247_10",0,258
"10434_1",0,258
"1147_10",-1,258
"5344_7",1,258
"8073_10",-1,258
"7833_3",0,258
"8370_1",1,258
"9007_8",-1,258
"6624_7",0,258
"6683_3",0,258
"12275_7",-1,258
"11927_8",1,258
"1560_10",1,258
"1325_9",-1,258
"3548_8",-1,258
"607_1",-1,258
"6702_7",1,258
"5702_3",-1,258
"11345_8",1,258
"3428_4",-1,258
"7209_9",1,258
"8425_8",-1,258
"3087_1",-1,258
"1119_8",1,258
"5715_3",-1,258
"8645_1",-1,258
"2149_3",0,258
"10403_10",0,258
"5628_1",1,258
"5570_10",1,258
"1613_3",1,258
"1454_4",0,258
"5094_3",-1,258
"7982_1",0,258
"6894_2",-1,258
"6554_1",-1,258
"4721_3",1,258
"6904_4",1,258
"893_8",0,258
"4605_4",0,258
"11516_7",1,258
"11718_7",0,258
"5956_1",1,258
"7455_9",-1,258
"6396_4",-1,258
"1223_8",-1,258
"8556_1",0,258
"6108_8",1,258
"11690_1",-1,258
"3778_9",0,258
"3627_4",1,258
"8256_4",-1,258
"533_1",1,258
"5235_4",0,258
"621_2",-1,258
"5365_1",-1,258
"8180_3",1,258
"7396_7",-1,258
"9776_10",1,258
"8175_10",1,258
"3128_1",0,258
"4606_1",-1,258
"6158_2",0,258
"3281_10",-1,258
"4723_4",1,258
"11994_3",-1,258
"7701_1",1,258
"103_3",-1,258
"8908_10",-1,258
"8876_1",1,258
"7519_9",0,258
"12456_8",-1,258
"9514_8",1,258
"8680_8",0,258
"12402_10",-1,258
"362_2",-1,258
"9825_7",1,258
"2913_3",0,258
"7164_8",1,258
"11177_7",1,258
"5707_10",-1,258
"8103_10",-1,258
"6289_1",-1,258
"11754_1",0,258
"11640_10",-1,258
"9933_7",0,258
"185_10",1,258
"242_10",-1,258
"9369_8",1,258
"7453_10",-1,258
"7514_7",0,258
"10860_2",0,258
"8663_8",0,258
"9108_1",1,258
"7941_1",0,258
"10116_1",1,258
"9841_4",-1,258
"4512_9",1,258
"4853_2",-1,258
"2664_4",1,258
"9966_10",1,258
"5167_2",0,258
"3894_2",-1,258
"3929_8",-1,258
"7165_10",0,258
"5451_8",-1,258
"2947_4",-1,258
"4611_10",0,258
"5807_1",1,258
"9464_8",1,258
"3124_10",0,258
"2705_4",0,258
"12187_8",1,258
"12319_10",-1,258
"9874_3",-1,258
"3406_4",1,258
"2327_10",-1,258
"605_10",-1,258
"8080_4",-1,258
"3074_10",-1,258
"2499_3",-1,258
"1013_1",0,258
"11535_1",1,258
"4118_7",-1,258
"10492_8",1,258
"2129_4",0,258
"9814_10",-1,258
"10671_9",-1,258
"5980_10",-1,258
"2755_2",-1,258
"5461_2",1,258
"11979_1",1,258
"8810_1",-1,258
"852_7",1,258
"10961_4",1,258
"7436_4",0,258
"11281_3",0,258
"4208_3",1,258
"8213_10",-1,258
"9851_2",-1,258
"4713_7",-1,258
"9528_1",1,258
"3595_10",-1,258
"5785_3",0,258
"10370_3",0,258
"1980_3",-1,258
"8800_4",-1,258
"4437_3",-1,258
"28_3",1,258
"12171_1",-1,258
"9359_3",-1,258
"3831_9",-1,258
"10962_7",1,258
"1500_9",0,258
"11470_10",1,258
"11843_3",-1,258
"11200_4",-1,258
"1067_1",-1,258
"3333_1",-1,258
"4487_4",-1,258
"6428_1",-1,258
"575_7",1,258
"10904_9",-1,258
"11821_2",-1,258
"11605_1",-1,258
"1111_7",1,258
"10295_1",-1,258
"1146_4",0,258
"2405_9",-1,258
"11081_10",-1,258
"2201_10",1,258
"4844_1",1,258
"11007_8",-1,258
"6535_7",1,258
"2653_4",0,258
"8245_10",1,258
"9951_8",-1,258
"6133_8",0,258
"10006_2",-1,258
"7350_1",-1,258
"4509_9",-1,258
"948_1",-1,258
"3987_1",0,258
"2947_10",0,258
"6041_3",-1,258
"2946_1",0,258
"11967_4",-1,258
"1185_10",-1,258
"10323_2",0,258
"11706_2",-1,258
"3663_1",0,258
"5602_10",-1,258
"4870_10",-1,258
"1994_1",0,258
"10807_7",1,258
"6871_3",-1,258
"1175_2",1,258
"10919_7",-1,258
"8127_10",-1,258
"12497_4",-1,258
"3274_1",-1,258
"2568_3",-1,258
"840_2",-1,258
"5626_10",-1,258
"7561_10",1,258
"4600_3",0,258
"3324_9",-1,258
"8899_7",1,258
"5592_8",0,258
"12483_4",-1,258
"7874_1",-1,258
"5878_10",1,258
"4303_9",1,258
"9421_1",-1,258
"10269_4",-1,258
"10615_2",-1,258
"2634_10",-1,258
"7522_1",0,258
"9289_10",0,258
"4636_10",-1,258
"1241_7",1,258
"9458_9",-1,258
"11690_10",1,258
"7176_4",1,258
"6212_10",0,258
"6319_1",-1,258
"5229_3",-1,258
"466_9",-1,258
"8693_2",1,258
"2952_10",-1,258
"1128_1",-1,258
"3975_10",1,258
"11365_10",-1,258
"2074_9",0,258
"9768_10",-1,258
"4895_1",-1,258
"5726_10",1,258
"9993_10",-1,258
"11319_2",1,258
"10561_2",1,258
"5455_8",1,258
"10684_3",-1,258
"3652_3",0,258
"7825_1",-1,258
"8806_1",-1,258
"275_10",-1,258
"2246_1",-1,258
"11968_2",1,258
"2528_1",0,258
"8491_8",0,258
"13_1",0,258
"4530_8",-1,258
"5207_3",1,258
"11648_10",-1,258
"8260_1",-1,258
"10730_10",-1,258
"10402_3",1,258
"8077_1",1,258
"8598_8",-1,258
"2809_3",-1,258
"12490_10",0,258
"1447_9",-1,258
"1605_3",0,258
"2311_4",-1,258
"3235_9",0,258
"5725_10",-1,258
"9025_10",1,258
"6049_9",1,258
"4803_10",1,258
"191_9",1,258
"420_3",-1,258
"5238_2",0,258
"1280_9",1,258
"9408_4",1,258
"819_1",-1,258
"1656_4",-1,258
"9964_3",0,258
"10404_4",-1,258
"12369_10",1,258
"6423_1",1,258
"9942_8",0,258
"1519_1",-1,258
"100_10",-1,258
"3216_10",-1,258
"3909_10",1,258
"5034_7",1,258
"14_8",-1,258
"5891_3",1,258
"8496_10",-1,258
"7429_1",-1,258
"9457_1",-1,258
"9602_8",-1,258
"4198_1",-1,258
"154_2",-1,258
"5070_2",1,258
"4207_8",0,258
"7758_8",1,258
"4439_9",1,258
